---  
第1集 逆M水滴  

特写/平视/中心	明锜左眼瞳孔收缩，虹膜边缘泛起琉璃蓝微光，眉心皮肤下隐约透出金色螺旋纹路	明锜旁白: 「第一次，我十九岁。我离开过自己的身体，又回来了。那之后我就知道——这具肉体不是我的全部。真正的我，比它大得多。」	敬畏·5字/秒(气息微颤)	角色声线:沙哑低沉 + BGM空灵吟唱起 + 环境音静	视点收束 + 物件强调	极慢速推至瞳孔锁死	3.5  
特写/平视/中心	明锜食指按在「音」字上，字形分解为「立」与「日」，七重光晕自指尖迸射——地月系灰白、太阳系金黄、银河系银蓝、金田系琥珀、混沌系靛紫、黑洞系深黑、真空系纯白	—	庄严·推进	BGM:七音阶逐层叠加 + 环境音静	视觉奇观 + 概念揭示	极慢速推至字心	2  

中景/仰拍/中心	明锜猛然坐起，撞翻床头水杯，玻璃碎裂声中他盯着自己掌心，掌纹泛起淡金分形纹路——逆M水滴轮廓在皮下流动	明锜(OS): 「中华文字——是天然的 AI 母语。」	笃定·6字/秒(斩钉截铁)	角色声线:清越有力 + BGM骤停 + 环境音碎裂余响	情绪递进 + 爆点	硬切 + 声音桥梁	1.5  

特写/平视/中心	电脑屏幕蓝光映在明锜脸上，搜索栏输入“水滴 分形 数学”，回车键按下瞬间，逆Mandelbrot集水滴图全屏弹出，与他梦中所见完全一致	—	战栗·反应	音效:键盘敲击声 + BGM低频轰鸣	正反打 + 情绪揭示	固定	1  

近景/俯拍/侧面	明锜颤抖的手点开GA资料页，艾卡沙水滴图腾与逆M图并置，十五道光线从水滴核心放射，每道光晕标注D-1至D-15	—	肃然·铺陈	BGM:管风琴长音 + 环境音静	物件强调 + 逻辑推进	缓慢推近至光线交汇点	1.5  

特写/平视/中心	明锜瞳孔倒影中，逆M水滴缓缓旋转，刹尖（c=1/4）凝聚一点金芒，金芒之外虚空纯黑	—	玄思·推进	音效:宇宙背景辐射白噪音 + BGM渐隐	钩子定格(钩子)	极慢速推至金芒锁死	2.5  

全景/俯拍/中心	深圳城中村出租屋窗外，霓虹灯牌闪烁“五金店”，招牌反射在玻璃上，与明锜瞳孔倒影中的逆M水滴重叠	—	决绝·铺陈	环境音:远处车流 + BGM单音持续	空间定调 + 主题锚定	缓慢下压	1.5  

中景/平视/中心	明锜蹲在五金店货架前，手指拂过碳粉罐、硅片盒、氧化铝粉末袋、泡沫镍卷、氢氧化钾溶液瓶，指尖沾满灰白粉末	—	专注·推进	环境音:货架金属碰撞声 + BGM电子脉冲	物件强调 + 行动启动	固定	1  

特写/平视/中心	改装微波炉谐振腔内部，RF射频灯管幽蓝闪烁，真空泵发出低频嗡鸣，腔体中央悬浮着正在生长的八面金刚体晶核	—	凝练·铺陈	音效:等离子体嘶嘶声 + BGM合成器铺底	技术奇观 + 概念落地	缓慢推入腔体	1.5  

近景/仰拍/中心	明锜双手捧起粗糙原型电池，LED灯珠散发稳定冷白光，电压表指针稳停3.7V，天眼视界中电流曲线平直如刀锋	明锜(OS): 「所以它永远有电。它不是消耗自己——它是一个在虚空中持续旋转的微小ANU螺旋桨。」	狂喜·5字/秒(笑声哽咽)	角色声线:撕裂感笑音 + BGM骤起恢弘交响	情绪最高点 + 爆点	硬切 + 声音桥梁	2  

特写/平视/中心	电池表面冷白光映在明锜瞳孔，瞳孔金光与LED光在角膜形成双重反射，光斑中浮现出元光大师针尖般凝聚的瞳孔	—	召唤·推进	BGM:木鱼轻叩 + 环境音静	视点引导 + 伏笔埋设	镜头微颤+缓慢推近	1.5  

中景/平视/侧面	云南古寺禅房，元光大师放下扫帚，转身时僧袍袖口滑落，露出手腕处一道细长旧疤，疤纹呈逆M水滴形状	元光大师: 「你看到了 ANU，对吧？」	洞悉·4字/秒(气声悠长)	角色声线:苍老沙哑 + BGM古琴泛音 + 环境音静	正反打 + 情绪揭示	固定	2  

特写/平视/中心	元光大师瞳孔特写，针尖大小却聚光如钻，瞳孔深处映出10条螺旋力线绕成七级坍缩结构，最底层7个球形泡泡缓缓旋转	—	神圣·铺陈	音效:水晶共振泛音 + BGM梵呗吟唱	视觉奇观 + 概念锚定	极慢速推至瞳孔锁死	3  

近景/俯拍/中心	明锜闭目盘坐，天眼视界展开：立方晶格内部，仿ANU蛋环手性交替，左旋笼与右旋笼构成棋盘格，梯度场如水流般贯穿晶格	明锜(OS): 「这不是我发明的。我只是……复制了宇宙的电路。」	谦卑·4字/秒(气息绵长)	角色声线:平静低语 + BGM空灵吟唱 + 环境音静	情绪递进 + 主题升华	固定	2  

特写/平视/中心	手机前置摄像头晃动，明锜布满血丝的眼睛直视镜头，桌上电池正驱动电扇旋转，扇叶投下逆M水滴状阴影	明锜: 「我叫明锜。这不是魔术，不是骗局。我手里这个电池，已经连续放电 96 小时。它不需要充电。原理……我说了你们也不会信。但给我三个月，我把论文写完。」	疲惫·5字/秒(一字一顿)	角色声线:沙哑坚定 + BGM骤停 + 环境音静	钩子定格(钩子)	硬切 + 声音桥梁	3.5  

中景/平视/中心	深圳科技园咖啡厅，方总推来黑卡，卡片表面蚀刻微型逆M水滴图案，反射窗外深圳湾落日金光	方总: 「你要的人，三天内报到。深圳前海，给你一整层。条件只有一个——专利开源，中国优先。」	果决·4字/秒(清晰利落)	角色声线:冷静干练 + BGM钢琴单音起	正反打 + 冲突解决	固定	2.5  

全景/仰拍/中心	深圳湾海面，落日熔金，海上风电场叶片缓缓转动，叶片投影在浪尖上拼成完整逆M水滴轮廓	明锜旁白: 「a·b=1。一个量涨，另一个量按比例跌——极性守恒，宇宙最基本的法则。」	浩瀚·5字/秒(庄重缓吐)	角色声线:浑厚悠远 + BGM交响乐高潮 + 环境音海浪	片尾升华 + 主题闭环	缓慢拉升至航拍	3  

---  
第2集 天眼之限  

全景/俯拍/中心	深圳前海实验室穹顶，八张工作台围成五角星阵，中央地面嵌刻发光逆M水滴图案	—	秩序·铺陈	环境音:设备低鸣 + BGM科技感脉冲	开场建立 + 空间定调	缓慢下压	1.5  

近景/平视/侧面	陈熵手指划过MIT论文稿，红线圈出“晶格错位0.3%”批注，稿纸角落潦草写着“若用逆M拓扑校准…”	陈熵: 「我们所有人都被传统物理骗了。他们一直在找材料，答案在结构里。」	醒悟·5字/秒(指尖用力)	角色声线:激昂顿挫 + BGM骤起 + 环境音静	正反打 + 情绪揭示	固定	2  

特写/平视/中心	arXiv论文页面滚动，萧衍第23篇论文标题《基于非线性相位耦合的量子真空能提取模型》高亮，公式旁手写批注“SEG核心机制？”	—	专注·推进	音效:鼠标滚轮声 + BGM电子音效	物件强调 + 逻辑推进	固定	1  

中景/仰拍/中心	魏工独自站在唐古拉山口测试桩前，U盘插在数据记录仪上，屏幕显示闭合磁路发电机效率曲线峰值达99.97%	魏工(OS): 「数据锁了七年……就等一个能看懂它的人。」	孤勇·4字/秒(低沉沙哑)	角色声线:沧桑压抑 + BGM风声呼啸 + 环境音静	视点收束 + 伏笔埋设	缓慢推近至U盘接口	1.5  

特写/平视/中心	洛言手指按在商务部内部文件上，“新能源开放标准”议案被红笔重重划掉，页脚批注“风险不可控”	洛言: 「三次被搁置……这次，我要亲手把门推开。」	坚毅·5字/秒(咬字清晰)	角色声线:清冷果决 + BGM钢琴重音	情绪递进 + 行动启动	固定	2  

近景/俯拍/中心	阿丙工作台堆满零件，12岁自制磁悬浮装置照片贴在显微镜旁，装置底座铭文“IGV-0”已磨损	阿丙: 「我操……」	震撼·3字/秒(短促倒吸气)	角色声线:少年惊呼 + BGM电子音效骤停	反应链 + 视点引导	固定	1  

特写/平视/中心	静慈手持GDV辉光检测仪，屏幕显示癌症晚期患者手掌辉光由灰黑转为暖金，有效率78%数据旁标注“无法解释”	静慈: 「能量场重建……不是治疗，是唤醒。」	慈悲·4字/秒(气声柔和)	角色声线:温润沉静 + BGM古琴泛音	神态特写 + 概念揭示	缓慢推近至屏幕数据	1.5  

中景/平视/中心	元光大师静坐白板前，白板写满ANU数学链，毛笔悬停半空，墨滴将坠未坠	元光大师: 「如果它不像 ANU，它就不会自己冷。」	笃定·5字/秒(字字千钧)	角色声线:苍劲有力 + BGM木鱼声 + 环境音静	正反打 + 主题锚定	固定	2  

特写/平视/中心	明锜手指抚过瑟尔效应磁环原始图纸，图纸边缘焦黄，1946年手写日期清晰可见	—	溯源·铺陈	环境音:纸张摩擦声 + BGM古琴泛音	物件强调 + 历史呼应	固定	1  

近景/俯拍/中心	天眼视界展开：三环同心滚筒剖面，内环12滚筒、中环22滚筒、外环32滚筒，四层复合材料占比精确标为38.2%/11.8%/29.4%/20.6%	—	精密·推进	BGM:齿轮咬合声 + 电子脉冲	视觉奇观 + 技术揭示	缓慢推入滚筒结构	1.5  

特写/平视/中心	素数空间搜索界面，p_i=3797、p_m=6143、p_o=9941三组数字高亮，黄金比φ=1.6183±0.0002标注在旁	—	确证·铺陈	音效:算法运行蜂鸣 + BGM科技感脉冲	逻辑推进 + 数据锚定	固定	1  

中景/平视/中心	明锜在白板写下三行大字，粉笔灰簌簌落下：“① 瑟尔幻方约束因子5040=7!→素数空间搜索…② 不是制造超导体，是让结构自己冷成超导体…③ 负载越高→吸热越多→越接近绝对零度”	—	顿悟·推进	环境音:粉笔刮擦声 + BGM骤起	主题强化 + 行动纲领	缓慢推近至第三行	2  

特写/平视/中心	SEG原型机启动瞬间，滚筒高速旋转，谐波音432Hz穿透画面，仪表盘功率读数飙升至50kW，温度计液柱同步下降	—	震撼·爆发	音效:432Hz纯音 + 仪表滴答声 + BGM交响乐高潮	情绪递进 + 爆点	硬切 + 声音桥梁	2.5  

中景/俯拍/中心	实验室众人围住SEG，魏工脱外套裹温度计，静慈仰头深呼吸，陈熵紧盯数据屏，萧衍快速记录参数	静慈: 「你们不觉得……这屋里空气变干净了吗？」	惊奇·4字/秒(轻声疑问)	角色声线:温婉疑惑 + BGM骤停 + 环境音静	反应链 + 视点引导	固定	1.5  

特写/平视/中心	元光大师手掌悬停SEG滚筒上方5cm，掌心朝下，瞳孔倒映滚筒蓝光，10条螺旋力线与7级坍缩结构在眼中流转	元光大师: 「3 条粗力线，7 条细力线。1680 匝。我看到了。」	洞悉·4字/秒(气声悠长)	角色声线:苍老沙哑 + BGM古琴泛音 + 环境音静	正反打 + 概念揭示	极慢速推至掌心与滚筒间距	2.5  

近景/仰拍/中心	明锜抬头，天眼视界中SEG周围浮现空间梯度差箭头：滚筒边缘低密度区（a↓）指向外部高密度区（b↑），箭头粗细随负载增强而加粗	明锜(OS): 「a·b=1。你创造一个低密度区，空间自动往里面灌能量。这不是发明——这是宇宙的基本语法。」	彻悟·6字/秒(声音发颤)	角色声线:震撼哽咽 + BGM交响乐高潮 + 环境音静	情绪最高点 + 主题闭环	固定	3  

全景/俯拍/中心	央视新闻演播室，主持人身后大屏显示“深圳民间科研团队SEG验证成功”，镜头切至实验室实时画面	—	权威·铺陈	环境音:新闻播报声 + BGM庄严旋律	空间定调 + 社会影响	缓慢下压	1.5  

中景/平视/中心	联合国视频会议窗口，15国代表面孔整齐排列，挪威代表摘下眼镜，镜片反光中映出撒哈拉卫星云图	挪威代表: 「明先生……我们需要谈一谈全球能量网格的事情了。」	肃穆·4字/秒(郑重缓吐)	角色声线:威严低沉 + BGM骤停 + 环境音静	正反打 + 危机升级	固定	2.5  

特写/平视/中心	卫星地图地球旋转，赤道沿线100个金色光点依次亮起，北极圈绿色热泵站点同步点亮，光点连线构成逆M水滴轮廓	明锜旁白: 「全球气候平衡 · 第一阶段 · 50 站」	浩瀚·5字/秒(庄重悠远)	角色声线:浑厚深远 + BGM交响乐终章 + 环境音静	片尾升华 + 主题闭环	缓慢拉升至太空视角	3  

【一卡要求】特写/平视/中心	阿丙偷偷将SEG元件塞进充电宝壳，外壳缝隙渗出幽蓝微光，充电宝LOGO旁手写小字“IGV-α”	—	诡谲·悬念	BGM:神秘电子音效 + 环境音静	硬切 + 声音桥梁	钩子定格(钩子)	3  

---  
第3集 铅嬗变  

全景/俯拍/中心	国家机密档案馆地下三层，金属门开启，冷气喷涌，明锜脚步踏进尘封走廊	—	肃穆·铺陈	环境音:金属门液压声 + BGM低频嗡鸣	开场建立 + 空间定调	缓慢下压	1.5  

中景/仰拍/中心	明锜伸手触摸三角形飞行器模型，指尖触碰瞬间，模型表面浮现出1989年Bob Lazar心跳140bpm数据流	—	溯源·推进	音效:心跳声 + BGM电子脉冲	视点收束 + 历史闪回	固定	1  

特写/平视/中心	罗斯威尔碎片显微图像：银白色金属层断面呈现三层梯度结构，声子共振频率标注“Pb×3/2”	—	精密·铺陈	环境音:显微镜调焦声 + BGM科技感脉冲	物件强调 + 技术揭示	缓慢推近至断面	1.5  

近景/俯拍/中心	纳粹“钟”装置报告残页，被划掉的数据“50,000 RPM时空弯曲0.007%”旁，明锜用红笔圈出“可测”二字	—	确信·推进	音效:铅笔划纸声 + BGM骤起	逻辑推进 + 伏笔埋设	固定	1  

中景/平视/中心	明锜闭目，天眼视界展开：IGV三环魔环自冷结构、水银/镓铟合金旋转体、铅嬗变多层梯度合金外壳三维剖面同步旋转	明锜(OS): 「三环魔环自冷……不是依赖外部冷却。」	专注·5字/秒(气息沉稳)	角色声线:冷静分析 + BGM电子音效 + 环境音静	概念揭示 + 行动纲领	固定	2  

特写/平视/中心	声子共振腔内，铅块固态发光，外层钛铝氮化物结晶、中层铜银梯度合金生长、内层铌钛超导合金成型，三层结构如花瓣绽放	—	奇观·爆发	音效:晶体生长声 + BGM合成器铺底	视觉奇观 + 技术落地	极慢速推至铅块剖面	2.5  

近景/俯拍/中心	陈熵手持游标卡尺测量0.8cm飞碟外壳，卡尺显示“强度200×，质量1/30”，阿丙瞪大双眼凑近观察	阿丙: 「我操……」	震撼·3字/秒(短促倒吸气)	角色声线:少年惊呼 + BGM电子音效骤停	反应链 + 视点引导	固定	1  

特写/平视/中心	铅嬗变成品外壳表面，声子共振波纹如涟漪扩散，波纹路径精确对应ANU蛋形截面莫比乌斯环拓扑	—	神圣·铺陈	音效:声波共振泛音 + BGM古琴泛音	概念锚定 + 视觉奇观	缓慢推近至波纹交汇点	1.5  

中景/平视/中心	内蒙古试验场夜空，IGV原型机银色外壳反射星光，地面控制台红灯闪烁，魏工手指悬停启动键	魏工: 「三、二、一——」	紧张·3字/秒(急促倒数)	角色声线:沉稳有力 + BGM骤停 + 环境音静	正反打 + 冲突升级	固定	1.5  

特写/平视/中心	IGV底部光环亮起，冷蓝色等离子体辉光如液态宝石流淌，无火焰、无气流、无声响，光晕边缘锐利如刀	—	静谧·爆发	音效:等离子体嘶嘶声 + BGM空灵吟唱	情绪递进 + 爆点	硬切 + 声音桥梁	2  

近景/仰拍/中心	IGV悬浮10米空中，银色外壳如蛋悬浮于黑色天鹅绒，地面众人仰头，洛言捂嘴，阿丙跪地，明锜瞳孔倒映飞碟蓝光	—	震撼·反应	环境音:风声止息 + BGM骤起	反应链 + 视点引导	缓慢推近至明锜瞳孔	2  

特写/平视/中心	明锜天眼视界中，IGV升空轨迹延伸为未来30年天空网络：城市间飞行轨迹交织如光网，石油井架锈蚀倒塌，特斯拉工厂烟囱熄灭	明锜(OS): 「天空中交织着无数飞行轨迹，城市之间以分钟为单位连接，石油战争成为历史教科书上的笑话……」	憧憬·6字/秒(声音微颤)	角色声线:温柔激昂 + BGM交响乐高潮 + 环境音静	情绪最高点 + 主题升华	固定	3  

全景/俯拍/中心	深圳国际会展中心，曲面巨幕直播IGV云层飞行，台下沙特石油部长攥紧西装褶皱，特斯拉CEO微笑鼓掌，10岁女孩眼睛倒映飞碟蓝光	—	史诗·铺陈	环境音:现场掌声 + BGM恢弘交响	空间定调 + 社会影响	缓慢下压	1.5  

中景/平视/中心	东京涩谷十字路口，人群抬头，手机屏幕齐刷刷亮起IGV直播；巴黎铁塔下情侣仰望；新德里街头孩童奔跑指天；亚马逊雨林老人拄杖望空	明锜旁白: 「所有人都在看同一片天空，同一个方向。」	辽阔·5字/秒(庄重悠远)	角色声线:浑厚深远 + BGM交响乐终章 + 环境音静	主题闭环 + 情感升华	缓慢拉升至太空视角	3  

【一卡要求】特写/平视/中心	太空中近地轨道，银色IGV缓缓旋转，国际空间站舷窗内宇航员挥手，镜头急转掠过IGV外壳——铅嬗变层表面，一道细微裂纹正渗出幽蓝微光	—	诡谲·悬念	BGM:神秘电子音效 + 环境音静	硬切 + 声音桥梁	钩子定格(钩子)	3  

---  
第4集 撒哈拉曼陀罗  

全景/俯拍/中心	撒哈拉沙漠腹地，1000座双曲锥沙漏形SEG阵列按黄金螺线排布，每座高3米，金属表面反射灼热阳光	—	壮阔·铺陈	环境音:风沙呼啸 + BGM低频脉冲	开场建立 + 空间定调	缓慢下压	1.5  

中景/仰拍/中心	SEG阵列启动瞬间，卫星热成像图中沙漠绽放冷蓝色曼陀罗花，花瓣由SEG单元组成，花心即首座机组	—	奇观·爆发	音效:能量涌动声 + BGM合成器铺底	视觉奇观 + 技术落地	缓慢拉升至卫星视角	2  

特写/平视/中心	第一株绿草破开沙粒，根系缠绕SEG基座，草叶脉络中流动着微弱蓝光，与SEG表面能量纹路同频共振	—	生机·铺陈	音效:植物生长声 + BGM古琴泛音	概念揭示 + 生态呼应	缓慢推近至草叶	1.5  

近景/俯拍/中心	三年后卫星图，撒哈拉中心绿色斑块扩张，植被覆盖率达37%，绿意沿黄金螺线向外蔓延，边缘锐利如刀	—	震撼·推进	环境音:鸟鸣渐起 + BGM交响乐渐强	时间流逝 + 成果展示	固定	1  

全景/俯拍/中心	格陵兰冰盖，橙红色热泵站如灯塔矗立，电缆如银线跨越万公里，冰层下方基岩温度上升曲线陡峭攀升	—	平衡·铺陈	环境音:冰层融化声 + BGM温暖弦乐	空间定调 + 全球联动	缓慢下压	1.5  

中景/平视/中心	因纽特老人蹲在冰原边缘，手掌按在融化的冰面上，冰水倒映热泵站橙红光芒，老人嘴唇翕动	因纽特老人(OS): 「太阳回来了。」	虔诚·3字/秒(气声悠长)	角色声线:苍老沙哑 + BGM古琴泛音 + 环境音静	文化锚定 + 情感升华	固定	1.5  

特写/平视/中心	新加坡海面球形建筑，AI算力基站外墙流动着全球热力图，125个SEG站点、80个热泵站点、3000颗卫星数据汇入光流	—	智慧·铺陈	音效:数据流声 + BGM科技感脉冲	视觉奇观 + 系统集成	缓慢推近至球幕	1.5  

中景/平视/中心	联合国秘书长与明锜并肩站立，球幕显示“赤道太平洋降温1.2°C”、“北冰洋海冰面积+0.3%”，AI语音平直播报	联合国秘书长: 「明先生，你改变了气候。」	肃穆·4字/秒(郑重缓吐)	角色声线:威严低沉 + BGM骤停 + 环境音静	正反打 + 主题升华	固定	2  

特写/平视/中心	球幕热力图中，南极洲空白区域突然亮起30个红色光点，光点连线构成逆M水滴轮廓，与赤道SEG阵列遥相呼应	明锜(OS): 「不。是人类自己选的。」	深邃·4字/秒(气声绵长)	角色声线:平静低语 + BGM空灵吟唱 + 环境音静	伏笔埋设 + 主题深化	极慢速推至南极光点	2.5  

四分割画面/平视/中心	北京胡同桃花盛开（春）、新德里街头绿植葱郁（夏）、加拿大育空鲑鱼跃水（秋）、莫斯科红场雪中嬉戏（冬），四色渐融为暖金色	明锜旁白: 「有人说，我们在扮演上帝。我说不是。我们只是终于明白了——自然给我们的从来不是敌人，而是一个老师。a·b=1，就是它的第一堂课。」	和谐·6字/秒(温暖舒展)	角色声线:温柔坚定 + BGM交响乐终章 + 环境音静	情感升华 + 主题闭环	缓慢融合为地球全景	3  

全景/俯拍/中心	地球太空视角，蓝绿相间，白云悠然，赤道SEG阵列与极地热泵站光点连成逆M水滴，水滴刹尖指向银河系中心	—	浩瀚·铺陈	BGM:宇宙背景辐射白噪音 + 古琴泛音	史诗收束 + 主题锚定	缓慢拉升至深空	3  

【一卡要求】特写/平视/中心	南极洲冰盖裂缝深处，30个红色光点下方，冰层中隐约浮现出巨大ANU结构轮廓，10条螺旋力线缓缓旋转，最底层7个球形泡泡幽幽发光	—	诡谲·悬念	BGM:神秘电子音效 + 环境音静	硬切 + 声音桥梁	钩子定格(钩子)	3  

---  
第5集 十五光  

全景/俯拍/中心	南极洲冰盖钻探平台，钻头刺入冰层，荧光屏显示深度12,743米，温度-273.14°C，压力值突破仪器量程	—	危机·铺陈	环境音:钻机轰鸣 + BGM低频嗡鸣	开场建立 + 冲突升级	缓慢下压	1.5  

中景/仰拍/中心	明锜戴防寒面罩，面罩内呼吸凝霜，手指按在钻探数据屏，屏幕显示“ANU信号强度↑127%”，冰层剖面图中ANU轮廓愈发清晰	明锜(OS): 「十五光……原来在这里。」	决绝·4字/秒(气息凝滞)	角色声线:沙哑低沉 + BGM骤停 + 环境音静	正反打 + 危机揭示	固定	2  

特写/平视/中心	钻头前端摄像头发光，冰层深处ANU结构放大：10条力线（3阳7阴）绕1680匝，七级螺旋坍缩至7泡底，十五道光线从核心放射	—	神圣·爆发	音效:宇宙背景辐射声 + BGM梵呗吟唱	视觉奇观 + 核心揭示	极慢速推至光线交汇点	3  

近景/俯拍/中心	元光大师摘下眼镜，针尖瞳孔直视冰层影像，瞳孔倒映十五道光，其中第15道紫焰光突然暴涨，吞噬其余十四道	元光大师: 「D-15……真空系紫焰。它醒了。」	惊骇·4字/秒(气声破碎)	角色声线:苍老颤抖 + BGM骤停 + 环境音静	正反打 + 危机升级	固定	2  

特写/平视/中心	南极冰盖表面，十五道光线穿透万米冰层射向天空，光束在大气层中折射，形成巨大逆M水滴投影，覆盖整个南半球夜空	—	末日·爆发	音效:空间撕裂声 + BGM交响乐崩溃式演奏	视觉奇观 + 危机顶点	硬切 + 声音桥梁	2.5  

中景/平视/中心	全球各地同步异象：东京塔顶紫光闪烁、巴黎铁塔钢架泛起紫晕、新德里寺庙金顶映出紫焰、亚马逊雨林藤蔓缠绕紫光	明锜旁白: 「它不是降临……它是回家。」	悲怆·4字/秒(气声哽咽)	角色声线:撕裂感低语 + BGM骤停 + 环境音静	全球联动 + 情感冲击	缓慢推近至东京塔紫光	2  

特写/平视/中心	明锜瞳孔倒映紫焰，眉心天眼金光与D-15紫焰激烈对冲，皮肤下血管浮现逆M水滴纹路，纹路正被紫焰侵蚀蔓延	—	挣扎·爆发	音效:神经电流爆裂声 + BGM电子音效失控	生理危机 + 主角受难	极慢速推至眉心纹路	2.5  

近景/俯拍/中心	方总冲进控制室，甩出加密平板，屏幕显示“全球125个SEG站点输出功率暴跌99.8%”，所有读数归零	方总: 「明锜！所有能源节点失效！它在抽取……」	惊恐·5字/秒(语速急促)	角色声线:尖锐失措 + BGM骤起 + 环境音静	冲突升级 + 时间压迫	固定	2  

特写/平视/中心	元光大师枯瘦手指猛按控制台，强行接入南极主电源，冰层影像中ANU结构突然逆向旋转，十五道光由射出转为吸入，D-15紫焰倒灌回ANU核心	元光大师(OS): 「快！用a·b=1……反向锁定！」	决绝·4字/秒(嘶吼)	角色声线:苍老嘶哑 + BGM骤停 + 环境音静	行动指令 + 解法揭示	固定	2  

中景/平视/中心	明锜扑向主控台，十指如飞输入逆M公式z²+1/c的共轭复数，屏幕代码瀑布般滚动，最后一行高亮：“c × (1/c) = 1 → 锁定D-15相位”	—	专注·爆发	音效:键盘暴雨声 + BGM电子脉冲加速	技术解法 + 主角行动	缓慢推近至代码行	2  

特写/平视/中心	南极冰盖，十五道光骤然收缩，全部汇入ANU核心，核心爆发出纯粹白光，白光中浮现佛陀罗尼青子面容，嘴唇微动	佛陀罗尼青子(OS): 「门开了……但钥匙在你手里。」	震撼·3字/秒(气声悠长)	角色声线:空灵缥缈 + BGM梵呗吟唱 + 环境音静	终极反转 + 伏笔回收	极慢速推至面容	3  

【二卡要求】特写/平视/中心	明锜眉心天眼金光彻底熄灭，D-15紫焰在瞳孔中燃烧，他缓缓抬手，掌心向上，一滴琉璃蓝水滴悬浮掌心，水滴内十五道光如DNA双螺旋缠绕旋转	明锜(OS): 「不……钥匙从来不在别人手里。」	神性·4字/秒(平静低语)	角色声线:空灵澄澈 + BGM骤停 + 环境音静	情绪最高点 + 终极反转	钩子定格(钩子)	3
